library_info,time,shot,LLM,total_rows,ollama_timeout_count,hex_conversion_exception_count,exception_count,format_mismatch_case1_count,format_mismatch_case2_count,correct_format_count,format_mismatch_ratio (%),hex_conversion_exception_rate (%),ollama_timeout_rate (%),format_correctness_rate (%)
libpng_libpng_read_fuzzer,1,3,Deepseek-r1-Distill-Llama-70B,442,0,129,129,228,12,214,54.3,100.0,0.0,48.42
libpng_libpng_read_fuzzer,1,3,Gemma3-27B,250,0,55,55,130,5,120,54.0,100.0,0.0,48.0
libpng_libpng_read_fuzzer,1,3,Llama3.3,97,1,24,25,12,0,84,12.37,96.0,1.03,86.6
libpng_libpng_read_fuzzer,1,3,QwQ-32B,264,0,55,55,143,5,121,56.06,100.0,0.0,45.83
libpng_libpng_read_fuzzer,4,0,Deepseek-r1-Distill-Llama-70B,340,0,80,80,187,5,153,56.47,100.0,0.0,45.0
libpng_libpng_read_fuzzer,4,0,Gemma3-27B,404,9,135,158,119,0,262,29.46,85.44,2.23,64.85
libpng_libpng_read_fuzzer,4,0,Llama3.3,42,0,15,15,0,0,41,0.0,100.0,0.0,97.62
libpng_libpng_read_fuzzer,4,0,QwQ-32B,483,19,135,168,187,0,263,38.72,80.36,3.93,54.45
libpng_libpng_read_fuzzer,4,1,Deepseek-r1-Distill-Llama-70B,583,22,161,197,251,0,296,43.05,81.73,3.77,50.77
libpng_libpng_read_fuzzer,4,1,Gemma3-27B,543,21,161,196,217,0,291,39.96,82.14,3.87,53.59
libpng_libpng_read_fuzzer,4,1,Llama3.3,36,3,4,7,5,0,28,13.89,57.14,8.33,77.78
libpng_libpng_read_fuzzer,4,1,QwQ-32B,446,13,135,162,156,0,263,34.98,83.33,2.91,58.97
libpng_libpng_read_fuzzer,4,3,Deepseek-r1-Distill-Llama-70B,179,7,56,63,38,0,134,21.23,88.89,3.91,74.86
libpng_libpng_read_fuzzer,4,3,Gemma3-27B,335,7,126,133,83,0,245,24.78,94.74,2.09,73.13
libpng_libpng_read_fuzzer,4,3,Llama3.3,140,2,54,56,14,0,124,10.0,96.43,1.43,88.57
libpng_libpng_read_fuzzer,4,3,QwQ-32B,221,7,56,63,80,0,134,36.2,88.89,3.17,60.63
libxml2_xml,1,0,Llama3.3,142,0,12,12,58,0,83,40.85,100.0,0.0,58.45
libxml2_xml,1,1,Llama3.3,41,0,11,11,21,0,20,51.22,100.0,0.0,48.78
libxml2_xml,1,3,Llama3.3,119,0,49,49,24,0,95,20.17,100.0,0.0,79.83
libxml2_xml,4,0,Llama3.3,66,0,33,33,0,0,66,0.0,100.0,0.0,100.0
libxml2_xml,4,1,Llama3.3,37,0,6,6,0,0,37,0.0,100.0,0.0,100.0
libxml2_xml,4,3,Llama3.3,79,0,45,45,22,0,57,27.85,100.0,0.0,72.15
libxml2_xml_e85b9b,1,0,Llama3.3,81,0,51,52,1,0,79,1.23,98.08,0.0,97.53
libxml2_xml_e85b9b,1,1,Llama3.3,105,3,11,14,21,0,81,20.0,78.57,2.86,77.14
libxml2_xml_e85b9b,1,3,Llama3.3,92,0,68,68,0,3,92,3.26,100.0,0.0,100.0
libxml2_xml_e85b9b,4,0,Llama3.3,119,0,35,36,1,1,116,1.68,97.22,0.0,97.48
libxml2_xml_e85b9b,4,1,Llama3.3,45,0,4,4,2,0,43,4.44,100.0,0.0,95.56
libxml2_xml_e85b9b,4,3,Llama3.3,198,3,74,77,22,0,173,11.11,96.1,1.52,87.37
mbedtls_fuzz_dtlsclient,1,0,Llama3.3,10,0,2,2,1,0,7,10.0,100.0,0.0,70.0
mbedtls_fuzz_dtlsclient,1,1,Llama3.3,52,6,1,11,11,0,31,21.15,9.09,11.54,59.62
mbedtls_fuzz_dtlsclient,1,3,Llama3.3,91,7,35,46,11,0,69,12.09,76.09,7.69,75.82
mbedtls_fuzz_dtlsclient,4,0,Llama3.3,14,0,2,4,3,0,11,21.43,50.0,0.0,78.57
mbedtls_fuzz_dtlsclient,4,1,Llama3.3,38,0,1,5,3,0,31,7.89,20.0,0.0,81.58
mbedtls_fuzz_dtlsclient,4,3,Llama3.3,122,10,63,77,11,0,97,9.02,81.82,8.2,79.51
mbedtls_fuzz_dtlsclient_7c6b0e,1,0,Llama3.3,52,0,13,45,31,1,21,61.54,28.89,0.0,40.38
mbedtls_fuzz_dtlsclient_7c6b0e,1,1,Llama3.3,91,2,1,3,56,0,33,61.54,33.33,2.2,36.26
mbedtls_fuzz_dtlsclient_7c6b0e,1,3,Llama3.3,74,0,72,72,0,0,74,0.0,100.0,0.0,100.0
mbedtls_fuzz_dtlsclient_7c6b0e,4,0,Llama3.3,7,0,5,5,0,0,7,0.0,100.0,0.0,100.0
mbedtls_fuzz_dtlsclient_7c6b0e,4,1,Llama3.3,79,0,76,76,0,0,79,0.0,100.0,0.0,100.0
